"OriginalPath","OriginalName","NewName","NewPath","Directory","Status","Error","Timestamp","SafetyCategory"
"D:\DigiFloat\LawChronicle\backend\tools\check_gilgit_validation.py","check_gilgit_validation.py","tool-check-gilgit-validation.py","D:\DigiFloat\LawChronicle\backend\tools\tool-check-gilgit-validation.py","D:\DigiFloat\LawChronicle\backend\tools","SUCCESS","","2025-08-19 15:44:39","BACKEND_TOOL"
"D:\DigiFloat\LawChronicle\backend\tools\field_cleaning_dryrun.py","field_cleaning_dryrun.py","tool-field-cleaning-dryrun.py","D:\DigiFloat\LawChronicle\backend\tools\tool-field-cleaning-dryrun.py","D:\DigiFloat\LawChronicle\backend\tools","SUCCESS","","2025-08-19 15:44:39","BACKEND_TOOL"
"D:\DigiFloat\LawChronicle\backend\tools\sample_preamble_removals.py","sample_preamble_removals.py","tool-sample-preamble-removals.py","D:\DigiFloat\LawChronicle\backend\tools\tool-sample-preamble-removals.py","D:\DigiFloat\LawChronicle\backend\tools","SUCCESS","","2025-08-19 15:44:39","BACKEND_TOOL"
"D:\DigiFloat\LawChronicle\backend\tools\test_preamble_dedupe.py","test_preamble_dedupe.py","test-preamble-dedupe.py","D:\DigiFloat\LawChronicle\backend\tools\test-preamble-dedupe.py","D:\DigiFloat\LawChronicle\backend\tools","SUCCESS","","2025-08-19 15:44:39","BACKEND_TOOL"
"D:\DigiFloat\LawChronicle\docs\audits\2025-08-12-code-audit.md","2025-08-12-code-audit.md","doc-audit-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits\doc-audit-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\docs\audits\2025-08-12-implementation-summary.md","2025-08-12-implementation-summary.md","doc-summary-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits\doc-summary-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\04_date_processing\config_ai_extractor.json","config_ai_extractor.json","config-ai-extractor.json","D:\DigiFloat\LawChronicle\references\04_date_processing\config-ai-extractor.json","D:\DigiFloat\LawChronicle\references\04_date_processing","SUCCESS","","2025-08-19 15:44:39","REFERENCE_CONFIG"
"D:\DigiFloat\LawChronicle\references\04_date_processing\config_search_dates.json","config_search_dates.json","config-search-dates.json","D:\DigiFloat\LawChronicle\references\04_date_processing\config-search-dates.json","D:\DigiFloat\LawChronicle\references\04_date_processing","SUCCESS","","2025-08-19 15:44:39","REFERENCE_CONFIG"
"D:\DigiFloat\LawChronicle\references\04_date_processing\README_AI_Date_Extractor.md","README_AI_Date_Extractor.md","README-AI-Date-Extractor.md","D:\DigiFloat\LawChronicle\references\04_date_processing\README-AI-Date-Extractor.md","D:\DigiFloat\LawChronicle\references\04_date_processing","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\05_statute_versioning\config_assign_versions.json","config_assign_versions.json","config-assign-versions.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning\config-assign-versions.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning","SUCCESS","","2025-08-19 15:44:39","REFERENCE_CONFIG"
"D:\DigiFloat\LawChronicle\references\05_statute_versioning\config_group_statutes.json","config_group_statutes.json","config-group-statutes.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning\config-group-statutes.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning","SUCCESS","","2025-08-19 15:44:39","REFERENCE_CONFIG"
"D:\DigiFloat\LawChronicle\references\05_statute_versioning\README_versioning.md","README_versioning.md","README-versioning.md","D:\DigiFloat\LawChronicle\references\05_statute_versioning\README-versioning.md","D:\DigiFloat\LawChronicle\references\05_statute_versioning","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\06_section_versioning\README_section_versioning.md","README_section_versioning.md","README-section-versioning.md","D:\DigiFloat\LawChronicle\references\06_section_versioning\README-section-versioning.md","D:\DigiFloat\LawChronicle\references\06_section_versioning","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\docs\CONSOLIDATION_VALIDATION_GUIDE.md","CONSOLIDATION_VALIDATION_GUIDE.md","CONSOLIDATION-VALIDATION-GUIDE.md","D:\DigiFloat\LawChronicle\references\docs\CONSOLIDATION-VALIDATION-GUIDE.md","D:\DigiFloat\LawChronicle\references\docs","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\docs\data_pipeline_architecture.md","data_pipeline_architecture.md","data-pipeline-architecture.md","D:\DigiFloat\LawChronicle\references\docs\data-pipeline-architecture.md","D:\DigiFloat\LawChronicle\references\docs","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\docs\INTEGRATION_GUIDE.md","INTEGRATION_GUIDE.md","INTEGRATION-GUIDE.md","D:\DigiFloat\LawChronicle\references\docs\INTEGRATION-GUIDE.md","D:\DigiFloat\LawChronicle\references\docs","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\docs\INTELLIGENT_GROUPING_EXECUTIVE_SUMMARY.md","INTELLIGENT_GROUPING_EXECUTIVE_SUMMARY.md","INTELLIGENT-GROUPING-EXECUTIVE-SUMMARY.md","D:\DigiFloat\LawChronicle\references\docs\INTELLIGENT-GROUPING-EXECUTIVE-SUMMARY.md","D:\DigiFloat\LawChronicle\references\docs","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\docs\INTELLIGENT_GROUPING_TECHNICAL_IMPLEMENTATION.md","INTELLIGENT_GROUPING_TECHNICAL_IMPLEMENTATION.md","INTELLIGENT-GROUPING-TECHNICAL-IMPLEMENTATION.md","D:\DigiFloat\LawChronicle\references\docs\INTELLIGENT-GROUPING-TECHNICAL-IMPLEMENTATION.md","D:\DigiFloat\LawChronicle\references\docs","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE_COMPREHENSIVE_PIPELINE.md","LAWCHRONICLE_COMPREHENSIVE_PIPELINE.md","LAWCHRONICLE-COMPREHENSIVE-PIPELINE.md","D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE-COMPREHENSIVE-PIPELINE.md","D:\DigiFloat\LawChronicle\references\docs","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE_PIPELINE_FLOW.md","LAWCHRONICLE_PIPELINE_FLOW.md","LAWCHRONICLE-PIPELINE-FLOW.md","D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE-PIPELINE-FLOW.md","D:\DigiFloat\LawChronicle\references\docs","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE_TECHNICAL_INTERVIEW_PREPARATION.md","LAWCHRONICLE_TECHNICAL_INTERVIEW_PREPARATION.md","LAWCHRONICLE-TECHNICAL-INTERVIEW-PREPARATION.md","D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE-TECHNICAL-INTERVIEW-PREPARATION.md","D:\DigiFloat\LawChronicle\references\docs","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\docs\PROJECT_DESCRIPTION_AMENDED.md","PROJECT_DESCRIPTION_AMENDED.md","PROJECT-DESCRIPTION-AMENDED.md","D:\DigiFloat\LawChronicle\references\docs\PROJECT-DESCRIPTION-AMENDED.md","D:\DigiFloat\LawChronicle\references\docs","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
"D:\DigiFloat\LawChronicle\references\gui\config_grouped_db_creator.json","config_grouped_db_creator.json","config-grouped-db-creator.json","D:\DigiFloat\LawChronicle\references\gui\config-grouped-db-creator.json","D:\DigiFloat\LawChronicle\references\gui","SUCCESS","","2025-08-19 15:44:39","REFERENCE_CONFIG"
"D:\DigiFloat\LawChronicle\references\gui\config_intelligent_grouping.json","config_intelligent_grouping.json","config-intelligent-grouping.json","D:\DigiFloat\LawChronicle\references\gui\config-intelligent-grouping.json","D:\DigiFloat\LawChronicle\references\gui","SUCCESS","","2025-08-19 15:44:39","REFERENCE_CONFIG"
"D:\DigiFloat\LawChronicle\references\gui\config_section_splitting.json","config_section_splitting.json","config-section-splitting.json","D:\DigiFloat\LawChronicle\references\gui\config-section-splitting.json","D:\DigiFloat\LawChronicle\references\gui","SUCCESS","","2025-08-19 15:44:39","REFERENCE_CONFIG"
"D:\DigiFloat\LawChronicle\references\gui\config_section_versioning.json","config_section_versioning.json","config-section-versioning.json","D:\DigiFloat\LawChronicle\references\gui\config-section-versioning.json","D:\DigiFloat\LawChronicle\references\gui","SUCCESS","","2025-08-19 15:44:39","REFERENCE_CONFIG"
"D:\DigiFloat\LawChronicle\references\gui\config_statute_grouping.json","config_statute_grouping.json","config-statute-grouping.json","D:\DigiFloat\LawChronicle\references\gui\config-statute-grouping.json","D:\DigiFloat\LawChronicle\references\gui","SUCCESS","","2025-08-19 15:44:39","REFERENCE_CONFIG"
"D:\DigiFloat\LawChronicle\references\gui\config_statute_versioning.json","config_statute_versioning.json","config-statute-versioning.json","D:\DigiFloat\LawChronicle\references\gui\config-statute-versioning.json","D:\DigiFloat\LawChronicle\references\gui","SUCCESS","","2025-08-19 15:44:39","REFERENCE_CONFIG"
"D:\DigiFloat\LawChronicle\references\gui\README_INTELLIGENT_GROUPING.md","README_INTELLIGENT_GROUPING.md","README-INTELLIGENT-GROUPING.md","D:\DigiFloat\LawChronicle\references\gui\README-INTELLIGENT-GROUPING.md","D:\DigiFloat\LawChronicle\references\gui","SUCCESS","","2025-08-19 15:44:39","DOCUMENTATION"
