"OriginalPath","OriginalName","NewName","NewPath","Directory","Status","Error","Timestamp","Reason"
"D:\DigiFloat\LawChronicle\backend\app\core\services\phase4_worker.py","phase4_worker.py","phase4-worker.py","D:\DigiFloat\LawChronicle\backend\app\core\services\phase4-worker.py","D:\DigiFloat\LawChronicle\backend\app\core\services","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\core\services\section_service.py","section_service.py","section-service.py","D:\DigiFloat\LawChronicle\backend\app\core\services\section-service.py","D:\DigiFloat\LawChronicle\backend\app\core\services","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\core\services\__init__.py","__init__.py","--init--.py","D:\DigiFloat\LawChronicle\backend\app\core\services\--init--.py","D:\DigiFloat\LawChronicle\backend\app\core\services","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\scripts\import_check.py","import_check.py","import-check.py","D:\DigiFloat\LawChronicle\backend\scripts\import-check.py","D:\DigiFloat\LawChronicle\backend\scripts","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\tests\test_api_endpoints.py","test_api_endpoints.py","test-api-endpoints.py","D:\DigiFloat\LawChronicle\backend\tests\test-api-endpoints.py","D:\DigiFloat\LawChronicle\backend\tests","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\tests\test_phase4_jobs.py","test_phase4_jobs.py","test-phase4-jobs.py","D:\DigiFloat\LawChronicle\backend\tests\test-phase4-jobs.py","D:\DigiFloat\LawChronicle\backend\tests","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\tests\test_service_integration.py","test_service_integration.py","test-service-integration.py","D:\DigiFloat\LawChronicle\backend\tests\test-service-integration.py","D:\DigiFloat\LawChronicle\backend\tests","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\tests\unit\test_normalization_service.py","test_normalization_service.py","test-normalization-service.py","D:\DigiFloat\LawChronicle\backend\tests\unit\test-normalization-service.py","D:\DigiFloat\LawChronicle\backend\tests\unit","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\tests\unit\test_section_service.py","test_section_service.py","test-section-service.py","D:\DigiFloat\LawChronicle\backend\tests\unit\test-section-service.py","D:\DigiFloat\LawChronicle\backend\tests\unit","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\tools\call_start_field_cleaning.py","call_start_field_cleaning.py","tool-call-start-field-cleaning.py","D:\DigiFloat\LawChronicle\backend\tools\tool-call-start-field-cleaning.py","D:\DigiFloat\LawChronicle\backend\tools","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\tools\check_gilgit_validation.py","check_gilgit_validation.py","tool-check-gilgit-validation.py","D:\DigiFloat\LawChronicle\backend\tools\tool-check-gilgit-validation.py","D:\DigiFloat\LawChronicle\backend\tools","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\tools\field_cleaning_dryrun.py","field_cleaning_dryrun.py","tool-field-cleaning-dryrun.py","D:\DigiFloat\LawChronicle\backend\tools\tool-field-cleaning-dryrun.py","D:\DigiFloat\LawChronicle\backend\tools","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\tools\sample_preamble_removals.py","sample_preamble_removals.py","tool-sample-preamble-removals.py","D:\DigiFloat\LawChronicle\backend\tools\tool-sample-preamble-removals.py","D:\DigiFloat\LawChronicle\backend\tools","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\tools\test_preamble_dedupe.py","test_preamble_dedupe.py","test-preamble-dedupe.py","D:\DigiFloat\LawChronicle\backend\tools\test-preamble-dedupe.py","D:\DigiFloat\LawChronicle\backend\tools","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\docs\audits\2025-08-12-code-audit.md","2025-08-12-code-audit.md","doc-audit-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits\doc-audit-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\docs\audits\2025-08-12-implementation-summary.md","2025-08-12-implementation-summary.md","doc-summary-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits\doc-summary-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\01_data_ingestion\connect_existing_db.py","connect_existing_db.py","connect-existing-db.py","D:\DigiFloat\LawChronicle\references\01_data_ingestion\connect-existing-db.py","D:\DigiFloat\LawChronicle\references\01_data_ingestion","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\02_db_normalization\create_clean_db.py","create_clean_db.py","create-clean-db.py","D:\DigiFloat\LawChronicle\references\02_db_normalization\create-clean-db.py","D:\DigiFloat\LawChronicle\references\02_db_normalization","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\02_db_normalization\normalize_structure.py","normalize_structure.py","normalize-structure.py","D:\DigiFloat\LawChronicle\references\02_db_normalization\normalize-structure.py","D:\DigiFloat\LawChronicle\references\02_db_normalization","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\bring_common_fields_up.py","bring_common_fields_up.py","bring-common-fields-up.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\bring-common-fields-up.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\cleaning_single_section.py","cleaning_single_section.py","cleaning-single-section.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\cleaning-single-section.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\cleanup_statutes.py","cleanup_statutes.py","cleanup-statutes.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\cleanup-statutes.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\drop_unnecessary_fields.py","drop_unnecessary_fields.py","drop-unnecessary-fields.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\drop-unnecessary-fields.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\remove_preamble_duplicates_advanced.py","remove_preamble_duplicates_advanced.py","remove-preamble-duplicates-advanced.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\remove-preamble-duplicates-advanced.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\sort_sections.py","sort_sections.py","sort-sections.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\sort-sections.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\split_cleaned_statute.py","split_cleaned_statute.py","split-cleaned-statute.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting\split-cleaned-statute.py","D:\DigiFloat\LawChronicle\references\03_field_cleaning_splitting","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\04_date_processing\check_missing_dates.py","check_missing_dates.py","check-missing-dates.py","D:\DigiFloat\LawChronicle\references\04_date_processing\check-missing-dates.py","D:\DigiFloat\LawChronicle\references\04_date_processing","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\04_date_processing\config_ai_extractor.json","config_ai_extractor.json","config-ai-extractor.json","D:\DigiFloat\LawChronicle\references\04_date_processing\config-ai-extractor.json","D:\DigiFloat\LawChronicle\references\04_date_processing","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\04_date_processing\config_search_dates.json","config_search_dates.json","config-search-dates.json","D:\DigiFloat\LawChronicle\references\04_date_processing\config-search-dates.json","D:\DigiFloat\LawChronicle\references\04_date_processing","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\04_date_processing\fill_dates_grouped_batches.py","fill_dates_grouped_batches.py","fill-dates-grouped-batches.py","D:\DigiFloat\LawChronicle\references\04_date_processing\fill-dates-grouped-batches.py","D:\DigiFloat\LawChronicle\references\04_date_processing","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\04_date_processing\fill_missing_dates.py","fill_missing_dates.py","fill-missing-dates.py","D:\DigiFloat\LawChronicle\references\04_date_processing\fill-missing-dates.py","D:\DigiFloat\LawChronicle\references\04_date_processing","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\04_date_processing\parse_dates.py","parse_dates.py","parse-dates.py","D:\DigiFloat\LawChronicle\references\04_date_processing\parse-dates.py","D:\DigiFloat\LawChronicle\references\04_date_processing","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\04_date_processing\search_dates.py","search_dates.py","search-dates.py","D:\DigiFloat\LawChronicle\references\04_date_processing\search-dates.py","D:\DigiFloat\LawChronicle\references\04_date_processing","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\05_statute_versioning\assign_statute_versions.py","assign_statute_versions.py","assign-statute-versions.py","D:\DigiFloat\LawChronicle\references\05_statute_versioning\assign-statute-versions.py","D:\DigiFloat\LawChronicle\references\05_statute_versioning","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\05_statute_versioning\config_assign_versions.json","config_assign_versions.json","config-assign-versions.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning\config-assign-versions.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\05_statute_versioning\config_group_statutes.json","config_group_statutes.json","config-group-statutes.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning\config-group-statutes.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\05_statute_versioning\group_statutes_by_base.py","group_statutes_by_base.py","group-statutes-by-base.py","D:\DigiFloat\LawChronicle\references\05_statute_versioning\group-statutes-by-base.py","D:\DigiFloat\LawChronicle\references\05_statute_versioning","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\05_statute_versioning\remove_duplicates.py","remove_duplicates.py","remove-duplicates.py","D:\DigiFloat\LawChronicle\references\05_statute_versioning\remove-duplicates.py","D:\DigiFloat\LawChronicle\references\05_statute_versioning","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\06_section_versioning\assign_section_versions.py","assign_section_versions.py","assign-section-versions.py","D:\DigiFloat\LawChronicle\references\06_section_versioning\assign-section-versions.py","D:\DigiFloat\LawChronicle\references\06_section_versioning","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\06_section_versioning\create_grouped_statute_db.py","create_grouped_statute_db.py","create-grouped-statute-db.py","D:\DigiFloat\LawChronicle\references\06_section_versioning\create-grouped-statute-db.py","D:\DigiFloat\LawChronicle\references\06_section_versioning","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\06_section_versioning\generate_metadata_summary.py","generate_metadata_summary.py","generate-metadata-summary.py","D:\DigiFloat\LawChronicle\references\06_section_versioning\generate-metadata-summary.py","D:\DigiFloat\LawChronicle\references\06_section_versioning","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\06_section_versioning\split_sections.py","split_sections.py","split-sections.py","D:\DigiFloat\LawChronicle\references\06_section_versioning\split-sections.py","D:\DigiFloat\LawChronicle\references\06_section_versioning","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\07_export_pipeline\export_to_json.py","export_to_json.py","export-to-json.py","D:\DigiFloat\LawChronicle\references\07_export_pipeline\export-to-json.py","D:\DigiFloat\LawChronicle\references\07_export_pipeline","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\07_export_pipeline\export_to_mongo.py","export_to_mongo.py","export-to-mongo.py","D:\DigiFloat\LawChronicle\references\07_export_pipeline\export-to-mongo.py","D:\DigiFloat\LawChronicle\references\07_export_pipeline","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\config\azure_openai_config.json","azure_openai_config.json","azure-openai-config.json","D:\DigiFloat\LawChronicle\references\config\azure-openai-config.json","D:\DigiFloat\LawChronicle\references\config","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\docs\CONSOLIDATION_VALIDATION_GUIDE.md","CONSOLIDATION_VALIDATION_GUIDE.md","CONSOLIDATION-VALIDATION-GUIDE.md","D:\DigiFloat\LawChronicle\references\docs\CONSOLIDATION-VALIDATION-GUIDE.md","D:\DigiFloat\LawChronicle\references\docs","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\docs\data_pipeline_architecture.md","data_pipeline_architecture.md","data-pipeline-architecture.md","D:\DigiFloat\LawChronicle\references\docs\data-pipeline-architecture.md","D:\DigiFloat\LawChronicle\references\docs","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\docs\INTEGRATION_GUIDE.md","INTEGRATION_GUIDE.md","INTEGRATION-GUIDE.md","D:\DigiFloat\LawChronicle\references\docs\INTEGRATION-GUIDE.md","D:\DigiFloat\LawChronicle\references\docs","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\docs\INTELLIGENT_GROUPING_EXECUTIVE_SUMMARY.md","INTELLIGENT_GROUPING_EXECUTIVE_SUMMARY.md","INTELLIGENT-GROUPING-EXECUTIVE-SUMMARY.md","D:\DigiFloat\LawChronicle\references\docs\INTELLIGENT-GROUPING-EXECUTIVE-SUMMARY.md","D:\DigiFloat\LawChronicle\references\docs","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\docs\INTELLIGENT_GROUPING_TECHNICAL_IMPLEMENTATION.md","INTELLIGENT_GROUPING_TECHNICAL_IMPLEMENTATION.md","INTELLIGENT-GROUPING-TECHNICAL-IMPLEMENTATION.md","D:\DigiFloat\LawChronicle\references\docs\INTELLIGENT-GROUPING-TECHNICAL-IMPLEMENTATION.md","D:\DigiFloat\LawChronicle\references\docs","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE_COMPREHENSIVE_PIPELINE.md","LAWCHRONICLE_COMPREHENSIVE_PIPELINE.md","LAWCHRONICLE-COMPREHENSIVE-PIPELINE.md","D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE-COMPREHENSIVE-PIPELINE.md","D:\DigiFloat\LawChronicle\references\docs","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE_PIPELINE_FLOW.md","LAWCHRONICLE_PIPELINE_FLOW.md","LAWCHRONICLE-PIPELINE-FLOW.md","D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE-PIPELINE-FLOW.md","D:\DigiFloat\LawChronicle\references\docs","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE_TECHNICAL_INTERVIEW_PREPARATION.md","LAWCHRONICLE_TECHNICAL_INTERVIEW_PREPARATION.md","LAWCHRONICLE-TECHNICAL-INTERVIEW-PREPARATION.md","D:\DigiFloat\LawChronicle\references\docs\LAWCHRONICLE-TECHNICAL-INTERVIEW-PREPARATION.md","D:\DigiFloat\LawChronicle\references\docs","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\references\docs\PROJECT_DESCRIPTION_AMENDED.md","PROJECT_DESCRIPTION_AMENDED.md","PROJECT-DESCRIPTION-AMENDED.md","D:\DigiFloat\LawChronicle\references\docs\PROJECT-DESCRIPTION-AMENDED.md","D:\DigiFloat\LawChronicle\references\docs","DRY_RUN","","2025-08-19 15:43:05","Would rename"
